name,index year,overall score,property rights,freedom from corruption,fiscal freedom,government spending,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom
Afghanistan,2013,N/A,N/A,15,N/A,83.2,59.7,75.8,69.5,N/A,65,N/A
Albania,2013,65.2,30,31,92.6,75.1,81,49,78.4,79.8,65,70
Algeria,2013,49.6,30,29,80.4,44.1,65.2,52.6,76.6,67.8,20,30
Angola,2013,47.3,15,20,82.6,60.6,43.1,44.8,61.5,70.2,35,40
Argentina,2013,46.7,15,30,64.3,52.1,60.1,47.4,60.4,67.6,40,30
Armenia,2013,69.4,30,26,88,82.1,87.6,77.1,73,85.4,75,70
Australia,2013,82.6,90,88,66.4,62.8,95.5,83.5,83.8,86.2,80,90
Austria,2013,71.8,90,78,51.1,23.5,73.6,80.4,79.3,86.8,85,70
Azerbaijan,2013,59.7,25,24,85.5,67.8,69.2,79.4,73.5,77.2,55,40
Bahrain,2013,75.5,55,51,99.9,72.4,75.8,90.4,72.5,82.8,75,80
Bangladesh ,2013,52.6,20,27,72.7,92.1,68,51.9,65.4,54,55,20
Barbados,2013,69.3,80,78,74.5,54.2,74.8,84.4,72.1,60.5,55,60
Belarus,2013,48,20,24,88.8,43.5,75.2,76.9,40.7,80.8,20,10
Belgium,2013,69.2,80,75,45,14.5,91.6,69.8,79.3,86.8,80,70
Belize,2013,57.3,30,0,82.2,72.6,72.6,71.4,77.3,77.2,40,50
Benin,2013,57.6,30,30,76.1,86.1,45.4,49.7,79.9,59.3,70,50
Bhutan,2013,55,60,57,82.7,38.8,60.5,84.4,67.3,49.5,20,30
Bolivia,2013,47.9,10,28,88.8,64.1,55.8,30.8,67.4,74.3,10,50
Bosnia and Herzegovina,2013,57.3,20,32,83.2,26.9,54.3,61.2,79,86.4,70,60
Botswana,2013,70.6,70,61,79.5,65.1,69,69.8,72,79.7,70,70
Brazil,2013,57.7,50,38,70.3,54.8,53,57.2,74.4,69.7,50,60
Bulgaria,2013,65,30,33,94,64.2,73.6,74.8,78.6,86.8,55,60
Burkina Faso,2013,59.9,30,30,81.4,82,61.2,56.4,80.6,72.5,55,50
Burma,2013,39.2,10,15,81.9,96.8,20,20,65.1,73.6,0,10
Burundi,2013,49,20,19,71.5,22.6,58.4,66.4,68.7,78.9,55,30
Cambodia,2013,58.5,30,21,90.9,88.4,39.4,54.2,81.3,70.2,60,50
Cameroon,2013,52.3,30,25,69.3,87.1,46.8,55.5,69.9,54.9,35,50
Canada,2013,79.4,90,87,79.8,44.8,91.7,82.3,75.2,88.2,75,80
Cape Verde,2013,63.7,70,55,77.9,65.4,58.9,40.3,78,66.9,65,60
Central African Republic,2013,50.4,20,22,65.1,92.4,35.2,47.9,78.1,57.8,55,30
Chad,2013,45.2,20,20,50.4,75.5,25.2,40.5,74.6,55.6,50,40
Chile,2013,79,90,72,77.6,83.7,70.5,74.2,84.6,82,85,70
China,2013,51.9,20,36,70.2,83.3,48,62.6,71.6,72,25,30
Colombia,2013,69.6,50,34,76.1,75.2,90.2,79.3,78.7,72.2,70,70
Comoros,2013,47.5,30,24,64.7,82.4,44.7,51.2,74.6,68.8,15,20
Costa Rica ,2013,67,50,48,82.9,90.1,58.3,60.4,75.4,85.1,70,50
C̫te d'Ivoire ,2013,54.1,25,22,77.9,79.8,43.3,54.6,77.8,70.3,40,50
Croatia,2013,61.3,40,40,75.4,48.7,63,42.4,81.1,87.5,75,60
Cuba,2013,28.5,10,42,62.7,0,10,20,67.4,62.7,0,10
Cyprus,2013,69,70,63,79.8,32.7,80.7,62.8,84.1,81.8,75,60
Czech Republic,2013,70.9,70,44,82,43.5,65.8,85.5,81.7,86.8,70,80
Democratic Republic of Congo,2013,39.6,10,20,71.4,60.1,38.7,36.3,56.5,63,20,20
Denmark,2013,76.1,90,94,39.8,5.9,98.4,91.1,80,86.8,85,90
Djibouti,2013,53.9,30,30,79.4,48.8,30,59.6,76.6,59.6,65,60
Dominica,2013,63.9,60,52,72,50.1,77,68.8,85.3,74.3,70,30
Dominican Republic,2013,59.7,30,26,83.7,92.6,53.7,55.6,72.9,77.8,65,40
Ecuador,2013,46.9,20,27,80.1,47.3,51.5,48,66.9,68.1,20,40
Egypt,2013,54.8,35,29,85.6,69.4,63.3,43.3,58.4,73.8,50,40
El Salvador ,2013,66.7,40,34,85.7,85.4,61.8,62,79.6,79,70,70
Equatorial Guinea,2013,42.3,15,19,75.4,39.3,44.4,43.1,72.8,58.8,25,30
Eritrea,2013,36.3,10,25,57,54.6,17.3,54.6,55.5,69.1,0,20
Estonia,2013,75.3,85,64,79.7,56.2,78.2,56,77.1,86.8,90,80
Ethiopia,2013,49.4,30,27,74.2,89.6,52.4,46.9,64.7,64,25,20
Fiji,2013,57.2,25,20,78,78,65.7,74.9,72.8,68,40,50
Finland,2013,74,90,94,66.9,12.2,94.8,45.3,79.5,86.8,90,80
France,2013,64.1,80,70,53,5.6,84,50.5,81.1,81.8,65,70
Gabon,2013,57.8,40,30,74.2,80.1,56.5,63.1,77.5,61.1,55,40
Georgia,2013,72.2,45,41,88.2,68.9,90.6,91.1,72.6,89.2,75,60
Germany,2013,72.8,90,80,61.8,37.3,92.1,43.8,81.2,86.8,85,70
Ghana,2013,61.3,50,39,86,52.5,61.5,61.6,64.8,67.8,70,60
Greece,2013,55.4,40,34,66.2,24.7,77.1,42.1,73.4,81.8,65,50
Guatemala ,2013,60,30,27,79.6,93.6,50.8,48.7,75.5,85.2,60,50
Guinea,2013,51.2,20,21,69.6,82.6,46.1,63.8,62.8,61.2,45,40
Guinea-Bissau,2013,51.1,20,22,89.1,82,41.3,54,72.7,65.3,35,30
Guyana,2013,53.8,30,25,67.9,61.1,66.3,75.4,75.9,71.2,35,30
Haiti,2013,48.1,10,18,80.7,66.3,33.4,63.6,74.2,74.8,30,30
Honduras ,2013,58.4,30,26,85.3,79.2,61,26.8,73.9,77.1,65,60
Hong Kong,2013,89.3,90,84,92.9,88.9,98.9,86.2,82.1,90,90,90
Hungary ,2013,67.3,65,46,79.7,29.7,79.1,64.4,77.1,86.8,75,70
Iceland,2013,72.1,90,83,72.7,36.2,91.5,58.9,75.8,87.8,65,60
India,2013,55.2,50,31,78.3,77.9,37.3,73.6,65.3,63.6,35,40
Indonesia,2013,56.9,30,30,83.4,89.2,50.2,50.8,75.5,75,35,50
Iran,2013,43.2,10,27,80.8,80.5,65.3,55,58,45.7,0,10
Iraq,2013,N/A,N/A,18,N/A,N/A,47,70.1,N/A,N/A,N/A,N/A
Ireland,2013,75.7,90,75,73.8,28.8,83.4,76.6,82.8,86.8,90,70
Israel,2013,66.9,70,58,60.2,39.3,66.1,63.7,78.6,83,80,70
Italy,2013,60.6,50,39,55.5,25.3,76.9,52,80.2,86.8,80,60
Jamaica ,2013,66.8,40,33,77.5,67.7,84.3,69.3,76.1,75,85,60
Japan,2013,71.8,80,80,69.2,45,81.3,80.3,90.6,81.8,60,50
Jordan,2013,70.4,60,45,93.6,68.8,69.2,75.5,82,79.6,70,60
Kazakhstan,2013,63,35,27,93.2,84.5,71.8,88.4,72.2,78.2,30,50
Kenya,2013,55.9,30,22,77.5,73.5,58,57.1,73.8,66.7,50,50
Kiribati,2013,45.9,30,31,71.2,0,59.2,78.5,78.4,55.4,25,30
Kosovo,2013,N/A,30,29,93.5,73,52.4,77.7,N/A,N/A,65,N/A
Kuwait,2013,63.1,50,46,99.9,61.5,57.7,62.8,71.6,76.8,55,50
Kyrgyz Republic ,2013,59.6,20,21,94.8,56.4,73.2,88.6,66.7,75.4,50,50
Laos,2013,50.1,15,22,79.7,85.8,62.1,54.7,73,58.7,30,20
Latvia,2013,66.5,50,42,84.4,53.6,75.7,64.4,78.3,86.8,80,50
Lebanon,2013,59.5,20,25,90.8,74.6,50.3,57.2,76.5,80.4,60,60
Lesotho,2013,47.9,40,35,48.2,0,63.7,62.8,75.7,69.1,45,40
Liberia,2013,49.3,30,32,76.6,77.8,56.5,47.2,72,61.4,20,20
Libya,2013,N/A,10,20,N/A,N/A,N/A,N/A,64.8,85,10,20
Liechtenstein,2013,N/A,N/A,N/A,N/A,N/A,70,N/A,N/A,90,N/A,80
Lithuania,2013,72.1,60,48,92.8,53.6,77.6,64.1,78.3,86.8,80,80
Luxembourg,2013,74.2,90,85,65,47.1,74.8,39,79.3,86.8,95,80
Macau,2013,71.7,60,51,73.5,91.5,60,55,81.3,90,85,70
Macedonia,2013,68.2,35,39,91.4,69.1,80.3,78.4,84,84.6,60,60
Madagascar,2013,62,40,30,90,94.6,63.5,47.4,74.9,74.6,55,50
Malawi,2013,55.3,40,30,78.4,60,41.1,58.8,72.5,71.8,50,50
Malaysia ,2013,66.1,55,43,85.1,73.5,79.9,72.3,79.8,77,45,50
Maldives,2013,49,25,25,98.8,14.5,88.7,64,70.4,43.7,30,30
Mali,2013,56.4,30,28,69.6,83.9,50.1,64.6,79.9,73.2,45,40
Malta,2013,67.5,75,56,61.2,44.1,61.1,65.4,80.4,86.8,85,60
Mauritania,2013,52.3,25,24,80.3,74.7,43.3,51.1,75.1,64.8,45,40
Mauritius,2013,76.9,70,51,92.1,81.9,78.2,72.3,75.4,87.9,90,70
Mexico,2013,67,50,30,81.1,79.4,81.4,59.7,77.7,80.6,70,60
Micronesia,2013,50.1,30,30,97.5,0,54.1,82.5,76.1,81,20,30
Moldova,2013,55.5,40,29,87.2,50.1,69.7,40.9,73.4,80,35,50
Mongolia,2013,61.7,30,27,82.5,62.6,70.4,79.2,75.6,79.8,50,60
Montenegro,2013,62.6,40,40,92.4,41.5,72.7,71.4,79.9,83,55,50
Morocco,2013,59.6,40,34,71.4,64.3,76.4,30.1,78.9,70.8,70,60
Mozambique ,2013,55,30,27,76.2,64.5,63.9,37.9,74.7,75.4,50,50
Namibia,2013,60.3,30,44,66.4,71.5,68.4,76.7,74.9,81.5,50,40
Nepal,2013,50.4,30,22,85.8,89.2,57.2,44.3,75.1,60.8,10,30
New Zealand,2013,81.4,95,95,71.5,33.2,99.9,89.5,83.3,86.8,80,80
Nicaragua ,2013,56.6,15,25,78.7,65.1,51.2,62.2,73.2,85.4,60,50
Niger,2013,53.9,30,25,77,80.1,35.2,39.3,85.4,71.7,55,40
Nigeria,2013,55.1,30,24,82.6,74.6,55.7,67.2,73.3,63.9,40,40
North Korea,2013,1.5,5,10,0,0,0,0,0,0,0,0
Norway,2013,70.5,90,90,51,40.3,92.6,44.7,76.9,89.3,70,60
Oman,2013,68.1,50,48,98.5,69.1,68.1,80.9,72.7,78.7,55,60
Pakistan ,2013,55.1,30,25,80.5,89,70.7,47.9,67,66,35,40
Panama ,2013,62.5,30,33,86.2,77.8,72.5,40.1,75.9,74.8,65,70
Papua New Guinea,2013,53.6,20,22,67.4,72.3,58.3,73.4,72.4,85,35,30
Paraguay ,2013,61.1,30,22,95.9,85.4,59.1,25.6,79.8,82.7,70,60
Peru,2013,68.2,40,34,79.9,89.1,72.3,67.1,84.3,85,70,60
Poland,2013,66,60,55,76,43,64,62.9,77.7,86.8,65,70
Portugal,2013,63.1,70,61,61.6,28.3,82.8,31,79.4,86.8,70,60
Qatar,2013,71.3,70,72,99.8,81.2,69.4,63.4,80.3,82.5,45,50
Republic of Congo ,2013,43.5,10,22,61.4,80.3,31.5,44.8,74.3,60.7,20,30
Romania,2013,65.1,40,36,87.9,62.2,70.4,63.5,74.7,86.8,80,50
Russia,2013,51.1,25,24,86.9,54.4,69.2,52.6,66.7,77.4,25,30
Rwanda,2013,64.1,30,50,80.4,75.9,65.6,80.3,75.5,78,65,40
Saint Lucia,2013,70.4,70,70,76.9,63.6,85.3,76.4,84.7,71.9,65,40
Saint Vincent and the Grenadines,2013,66.7,70,58,74.2,67.1,77.6,76.6,80.3,73.3,50,40
Samoa,2013,57.1,60,39,80.6,34.3,72.4,80.4,78.5,66,30,30
Ṣo Tom̩ and Pr�_ncipe ,2013,48,20,30,86.9,45.3,53.5,38.6,66,60,50,30
Saudi Arabia,2013,60.6,40,44,99.6,52.2,68.2,69.2,65.7,77.3,40,50
Senegal,2013,55.5,40,29,65.2,75.6,56.7,41.3,79.6,72.2,55,40
Serbia ,2013,58.6,40,33,84.2,40.3,60.2,70.4,65.3,77.9,65,50
Seychelles,2013,54.9,50,48,77.6,56.9,69.2,63.5,75.6,33.4,45,30
Sierra Leone,2013,48.3,10,25,80.7,75.9,51.5,26.3,68.5,70.2,55,20
Singapore,2013,88,90,92,91.1,91.3,97.1,91.4,82,90,75,80
Slovakia,2013,68.7,50,40,84.7,58,71,72.2,79.1,86.8,75,70
Slovenia,2013,61.7,60,59,65.7,22.3,80.7,40.4,81.6,86.8,70,50
Solomon Islands,2013,45,30,27,66.2,6.1,66.6,66.4,75.4,72.6,10,30
Somalia,2013,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,2013,61.8,50,41,70.5,69.2,74.7,55.6,75.8,76.3,45,60
South Korea,2013,70.3,70,54,73,72.8,93.6,48.7,77.9,72.6,70,70
Spain,2013,68,70,62,53.9,43,80.3,54.3,79.9,86.8,80,70
Sri Lanka,2013,60.7,40,33,84.7,86.5,77,60.8,69.1,76.2,40,40
Sudan,2013,N/A,N/A,16,N/A,89.9,57.4,65.4,64.5,N/A,15,N/A
Suriname,2013,52,40,30,71.6,72.5,40.2,77.5,66.7,66.3,25,30
Swaziland,2013,57.2,40,31,74.4,51.3,66,70.3,74.7,69.7,55,40
Sweden,2013,72.9,90,93,39.6,21,93.2,53.6,82.1,86.8,90,80
Switzerland,2013,81,90,88,68.1,63.8,75.8,87.9,86.2,90,80,80
Syria,2013,N/A,20,26,86.2,N/A,59.3,48.9,71.5,72.8,10,20
Taiwan,2013,72.7,70,61,80.5,84.9,94.3,53.3,82.9,85,65,50
Tajikistan,2013,53.4,20,23,92.8,78.1,61.7,55.5,64.6,78.2,20,40
