countryname,wikiname,type,checktype,mapname
Republic of Armenia,Armenia,Country,Country,Armenia
Socialist Republic of Vietnam,Vietnam,Country,Country,Vietnam
Republic of Mozambique,Mozambique,Country,Country,Mozambique
Republic of Moldova,Moldova,Country,Country,Moldova
Republic of Tunisia,Tunisia,Country,Country,Tunisia
Republic of the Union of Myanmar,Burma,Country,Country,
Federal Republic of Nigeria,Nigeria,Country,Country,Nigeria
People's Republic of China,China,Country,Country,China
Republic of Nicaragua,Nicaragua,Country,Country,Nicaragua
United Republic of Tanzania,Tanzania,Country,Country,Tanzania
Europe and Central Asia,,Region,Region,
Republic of Togo,Togo,Country,Country,Togo
Macedonia,Republic of Macedonia,Country,Country,Macedonia
Republic of Albania,Albania,Country,Country,Albania
Africa,,Region,Region,
People's Republic of Bangladesh,Bangladesh,Country,Country,Bangladesh
The Independent State of Papua New Guine,Papua New Guinea,Country,Country,Papua New Guinea
Republic of Maldives,Maldives,Country,Country,Maldives
Republic of Senegal,Senegal,Country,Country,Senegal
Republic of Namibia,Namibia,Country,Country,Namibia
Burkina Faso,Burkina Faso,Country,Country,Burkina Faso
Kyrgyz Republic,Kyrgyzstan,Country,Country,Kyrgyzstan
Ukraine,Ukraine,Country,Country,Ukraine
Republic of the Sudan,Sudan,Country,Country,Sudan
Democratic Republic of the Congo,"Congo, Democratic Republic of the",Country,Country,"Congo, DRC"
Central African Republic,Central African Republic,Country,Country,Central African Republic
Islamic State of Afghanistan,Afghanistan,Country,Country,Afghanistan
Republic of Uzbekistan,Uzbekistan,Country,Country,Uzbekistan
Republic of Honduras,Honduras,Country,Country,Honduras
Republic of Malawi,Malawi,Country,Country,Malawi
Republic of Colombia,Colombia,Country,Country,Colombia
Republic of Peru,Peru,Country,Country,Peru
Republic of the Philippines,Philippines,Country,Country,Philippines
Republic of Indonesia,Indonesia,Country,Country,Indonesia
Republic of Vanuatu,Vanuatu,Country,Country,Vanuatu
Lao People's Democratic Republic,Laos,Country,Country,Laos
Islamic Republic of Pakistan,Pakistan,Country,Country,Pakistan
Union of the Comoros,Comoros,Country,Country,Comoros
Republic of Madagascar,Madagascar,Country,Country,Madagascar
Republic of Tajikistan,Tajikistan,Country,Country,Tajikistan
West Bank and Gaza,,Region,Region,
Hashemite Kingdom of Jordan,Jordan,Country,Country,Jordan
United Mexican States,Mexico,Country,Country,Mexico
Pacific Islands,,Region,Region,
Republic of Kenya,Kenya,Country,Country,Kenya
Nepal,Nepal,Country,Country,Nepal
Kingdom of Tonga,Tonga,Country,Country,Tonga
Oriental Republic of Uruguay,Uruguay,Country,Country,Uruguay
Federative Republic of Brazil,Brazil,Country,Country,Brazil
Georgia,Georgia (country),Country,Country,Georgia
Republic of Yemen,Yemen,Country,Country,Yemen
South Asia,,Region,Region,
Lebanese Republic,Lebanon,Country,Country,Lebanon
Kingdom of Morocco,Morocco,Country,Country,Morocco
Bosnia and Herzegovina,Bosnia and Herzegovina,Country,Country,Bosnia & Herzegovina
Republic of India,India,Country,Country,India
Republic of Burundi,Burundi,Country,Country,Burundi
Plurinational State of Bolivia,Bolivia,Country,Country,Bolivia
Republic of Uganda,Uganda,Country,Country,Uganda
Kingdom of Bhutan,Bhutan,Country,Country,Bhutan
Republic of Costa Rica,Costa Rica,Country,Country,Costa Rica
Republic of Haiti,Haiti,Country,Country,Haiti
Republic of Guatemala,Guatemala,Country,Country,Guatemala
Federal Democratic Republic of Ethiopia,Ethiopia,Country,Country,Ethiopia
Republic of Guinea,Guinea,Country,Country,Guinea
Russian Federation,Russia,Country,Country,Russia
Republic of Seychelles,Seychelles,Country,Country,Seychelles
Republic of Croatia,Croatia,Country,Country,Croatia
Republic of Liberia,Liberia,Country,Country,Liberia
Republic of Zambia,Zambia,Country,Country,Zambia
Mongolia,Mongolia,Country,Country,Mongolia
Middle East and North Africa,,Region,Region,
Jamaica,Jamaica,Country,Country,Jamaica
Islamic Republic of Mauritania,Mauritania,Country,Country,Mauritania
Republic of Kiribati,Kiribati,Country,Country,Kiribati
Arab Republic of Egypt,Egypt,Country,Country,Egypt
Republic of Azerbaijan,Azerbaijan,Country,Country,Azerbaijan
Republic of South Sudan,South Sudan,Country,Country,Sudan
Republic of Serbia,Serbia,Country,Country,Serbia
Montenegro,Montenegro,Country,Country,Montenegro
Republic of Cape Verde,Cape Verde,Country,Country,Cape Verde
Republic of Cote d'Ivoire,Cote d'Ivoire,Country,Country,Cote d'Ivory
Republic of Niger,Niger,Country,Country,Niger
Democratic Republic of Timor,East Timor,Country,Country,East Timor
Republic of El Salvador,El Salvador,Country,Country,El Salvador
Republic of Poland,Poland,Country,Country,Poland
Belize,Belize,Country,Country,Belize
Republic of Djibouti,Djibouti,Country,Country,Djibouti
Romania,Romania,Country,Country,Romania
Democratic Socialist Republic of Sri Lan,Sri Lanka,Country,Country,Sri Lanka
Republic of The Gambia,"Gambia, The",Country,Country,The Gambia
Republic of Sierra Leone,Sierra Leone,Country,Country,Sierra Leone
World,,Region,Region,
Republic of Congo,"Congo, Republic of the",Country,Country,Congo
Caribbean,,Region,Region,
Republic of Chad,Chad,Country,Country,Chad
Central America,,Region,Region,
Republic of Ghana,Ghana,Country,Country,Ghana
Solomon Islands,Solomon Islands,Country,Country,Solomon Is.
Latin America,,Region,Region,
Republic of Benin,Benin,Country,Country,Benin
Republic of Kosovo,Kosovo,Country,Country,
Republic of Kazakhstan,Kazakhstan,Country,Country,Kazakhstan
Argentine Republic,Argentina,Country,Country,Argentina
Republic of Chile,Chile,Country,Country,Chile
Republic of Cameroon,Cameroon,Country,Country,Cameroon
Samoa,Samoa,Country,Country,Samoa
Democratic Republic of Sao Tome and Prin,Sao Tome and Principe,Country,Country,Sao Tome & Principe
Republic of Turkey,Turkey,Country,Country,Turkey
Republic of Mauritius,Mauritius,Country,Country,Mauritius
Republic of Rwanda,Rwanda,Country,Country,Rwanda
Commonwealth of The Bahamas,"Bahamas, The",Country,Country,The Bahamas
Mekong,,Region,Region,
Republic of Trinidad and Tobago,Trinidad and Tobago,Country,Country,Trinidad & Tobago
Dominican Republic,Dominican Republic,Country,Country,Dominican Republic
Republic of Mali,Mali,Country,Country,Mali
Socialist People's Libyan Arab Jamahiriy,Libya,Country,Country,Libya
Kingdom of Thailand,Thailand,Country,Country,Thailand
Republic of Paraguay,Paraguay,Country,Country,Paraguay
Tuvalu,Tuvalu,Country,Country,Tuvalu
Republic of Zimbabwe,Zimbabwe,Country,Country,Zimbabwe
Kingdom of Lesotho,Lesotho,Country,Country,Lesotho
South Eastern Europe and Balkans,,Region,Region,
Republic of South Africa,South Africa,Country,Country,South Africa
Republic of Panama,Panama,Country,Country,Panama
Czech Republic,Czech Republic,Country,Country,Czech Republic
Republic of Guinea,Guinea,Country,Country,Guinea
Somali Democratic Republic,Somalia,Country,Country,Somalia
Republic of Iraq,Iraq,Country,Country,Iraq
Organization of Eastern Caribbean States,,Region,Region,
Grenada,Grenada,Country,Country,Grenada
People's Republic of Angola,Angola,Country,Country,Angola
Co-operative Republic of Guyana,Guyana,Country,Country,Guyana
Central Asia,,Region,Region,
Republic of Latvia,Latvia,Country,Country,Latvia
Kingdom of Swaziland,Swaziland,Country,Country,Swaziland
St. Lucia,Saint Lucia,Country,Country,St. Lucia
Republic of Belarus,Belarus,Country,Country,Belarus
Kingdom of Cambodia,Cambodia,Country,Country,Cambodia
Republic of Ecuador,Ecuador,Country,Country,Ecuador
St. Vincent and the Grenadines,Saint Vincent and the Grenadines,Country,Country,St. Vincent & the Grenadines
Eastern Africa,,Region,Region,
Syrian Arab Republic,Syria,Country,Country,Syria
Republic of Fiji,Fiji,Country,Country,Fiji
Andean Countries,,Region,Region,
Republic of Bulgaria,Bulgaria,Country,Country,Bulgaria
Republic of Botswana,Botswana,Country,Country,Botswana
Hungary,Hungary,Country,Country,Hungary
Republic of Equatorial Guinea,Equatorial Guinea,Country,Country,Equatorial Guinea
People's Democratic Republic of Algeria,Algeria,Country,Country,Algeria
Asia,,Region,Region,
Barbados,Barbados,Country,Country,Barbados
Malaysia,Malaysia,Country,Country,Malaysia
East Asia and Pacific,,Region,Region,
State of Eritrea,Eritrea,Country,Country,Eritrea
